Date,Open,High,Low,Close,Volume,Adj Close
2020-01-03,113.8,120.0,113.8,120.0,50.78032,120.0
2020-01-04,120.0,120.39,119.29,120.39,21.81411,120.39
2020-01-05,120.39,123.54,120.39,121.1,10.97111,121.1
2020-01-06,121.2,128.14,121.2,128.14,71.50937,128.14
2020-01-07,128.86,129.85,124.71,128.1,75.75885,128.1
2020-01-08,128.2,132.28,123.84,126.21,239.43082,126.21
2020-01-09,126.21,126.68,121.28,123.57,54.71274,123.57
2020-01-10,123.84,130.58,121.67,129.99,168.0737,129.99
2020-01-11,129.52,132.6,128.1,128.51,118.21654,128.51
2020-01-12,128.14,131.57,127.8,131.57,41.02748,131.57
2020-01-13,130.71,130.77,127.68,129.05,31.0135,129.05
2020-01-14,129.05,152.68,129.05,149.3,278.53447,149.3
2020-01-15,149.29,153.64,143.29,148.88,241.94221,148.88
2020-01-16,149.44,149.44,142.33,147.54,86.74111,147.54
2020-01-17,145.76,156.12,145.76,154.85,272.25411,154.85
2020-01-18,155.4,161.05,149.15,157.34,207.25244,157.34
2020-01-19,157.0,159.99,146.21,150.34,163.66077,150.34
2020-01-20,149.63,151.55,142.86,151.53,734.83353,151.53
2020-01-21,149.34,152.5,146.29,152.48,361.61411,152.48
2020-01-22,152.48,153.38,148.32,150.47,98.64339,150.47
2020-01-23,150.47,150.47,142.05,147.33,270.69013,147.33
2020-01-24,147.33,149.42,140.2,146.98,96.77017,146.98
2020-01-25,146.98,147.74,143.17,145.0,83.60627,145.0
2020-01-26,144.42,152.0,144.42,151.79,149.61758,151.79
2020-01-27,152.04,155.68,149.7,154.16,114.4005,154.16
2020-01-28,154.86,159.67,154.62,159.67,99.91107,159.67
2020-01-29,159.6,161.88,157.81,157.81,83.40045,157.81
2020-01-30,156.95,168.91,155.0,167.0,252.77787,167.0
2020-01-31,166.76,166.76,158.85,162.71,128.25323,162.71
2020-02-01,162.09,166.24,162.0,165.29,53.87708,165.29
2020-02-02,163.61,173.72,160.5,169.73,115.40748,169.73
2020-02-03,170.98,176.49,169.0,171.61,155.8138,171.61
2020-02-04,172.4,172.67,166.81,170.66,54.77315,170.66
2020-02-05,171.9,189.26,170.44,185.9,224.07566,185.9
2020-02-06,183.43,195.58,182.26,194.06,188.33079,194.06
2020-02-07,194.69,204.14,194.69,203.78,238.68152,203.78
2020-02-08,204.02,207.51,195.0,204.62,225.75982,204.62
2020-02-09,206.76,210.8,205.08,208.46,97.08834,208.46
2020-02-10,208.55,209.0,198.22,205.5,362.17424,205.5
2020-02-11,204.29,218.92,197.05,217.91,408.93977,217.91
2020-02-12,218.07,252.3,218.07,244.11,669.20159,244.11
2020-02-13,245.56,255.0,234.26,246.82,575.81137,246.82
2020-02-14,247.04,264.05,240.54,264.05,384.52729,264.05
2020-02-15,265.13,265.66,241.54,243.96,734.48545,243.96
2020-02-16,242.67,252.34,219.08,240.53,1324.60775,240.53
2020-02-17,239.1,247.0,222.74,247.0,1043.58658,247.0
2020-02-18,246.2,266.0,237.0,261.34,840.48096,261.34
2020-02-19,261.12,264.84,234.0,240.0,770.12606,240.0
2020-02-20,239.29,243.55,228.34,241.16,628.45357,241.16
2020-02-21,238.0,247.25,231.72,245.7,346.78978,245.7
2020-02-22,243.93,244.64,237.19,241.92,113.38502,241.92
2020-02-23,242.6,255.0,241.34,255.0,371.53027,255.0
2020-02-24,254.12,256.32,235.97,243.5,549.13835,243.5
2020-02-25,241.41,243.55,221.02,226.96,542.608,226.96
2020-02-26,228.27,228.97,197.04,205.99,1271.77033,205.99
2020-02-27,205.31,217.26,193.18,204.45,796.05776,204.45
2020-02-28,208.38,213.16,194.65,208.1,239.09789,208.1
2020-02-29,208.35,211.85,198.01,198.01,372.37994,198.01
2020-03-01,198.36,206.19,193.0,197.2,390.24492,197.2
2020-03-02,196.56,210.85,195.88,207.09,375.03764,207.09
2020-03-03,207.98,209.59,197.42,200.89,231.00329,200.89
2020-03-04,200.01,206.0,199.74,202.73,307.66114,202.73
2020-03-05,203.8,210.85,203.8,204.97,427.41144,204.97
2020-03-06,205.83,219.54,205.32,219.03,438.329,219.03
2020-03-07,218.11,224.89,211.1,213.0,195.3364,213.0
2020-03-08,211.4,211.4,174.08,175.27,1318.14512,175.27
2020-03-09,176.82,184.67,167.5,176.84,2164.33518,176.84
2020-03-10,177.93,181.68,170.65,178.06,856.41431,178.06
2020-03-11,178.82,179.99,161.43,174.13,940.99044,174.13
2020-03-12,172.1,172.1,91.35,98.44,4407.58324,98.44
2020-03-13,98.64,127.46,78.62,123.78,6152.80184,123.78
2020-03-14,124.23,124.23,110.57,111.92,2036.62787,111.92
2020-03-15,111.89,120.0,109.18,112.01,860.15326,112.01
2020-03-16,111.32,112.74,90.28,99.58,1751.77613,99.58
2020-03-17,100.49,110.5,98.82,106.77,973.66848,106.77
2020-03-18,106.5,109.0,101.31,109.0,1197.66952,109.0
2020-03-19,109.0,135.25,107.16,129.36,3964.87472,129.36
2020-03-20,129.37,143.03,111.0,125.66,3323.23074,125.66
2020-03-21,124.9,129.64,117.18,125.04,804.49159,125.04
2020-03-22,124.96,129.18,115.0,115.64,1165.45833,115.64
2020-03-23,114.0,128.84,113.0,127.52,1197.91798,127.52
2020-03-24,127.53,133.75,124.14,129.0,2821.55216,129.0
2020-03-25,128.61,131.98,123.8,126.23,1249.39629,126.23
2020-03-26,126.45,128.0,122.0,126.46,1094.86931,126.46
2020-03-27,126.46,128.8,119.42,120.26,535.53558,120.26
2020-03-28,120.0,121.27,114.5,120.34,514.59215,120.34
2020-03-29,118.88,119.92,113.23,114.35,594.06029,114.35
2020-03-30,113.68,125.0,113.08,122.19,698.38068,122.19
2020-03-31,122.02,125.0,121.48,122.43,437.54943,122.43
2020-04-01,122.42,126.19,120.0,125.49,430.31016,125.49
2020-04-02,126.0,139.19,123.75,131.93,835.72092,131.93
2020-04-03,131.46,136.71,130.02,133.19,653.09839,133.19
2020-04-04,132.75,136.53,131.28,135.73,382.32516,135.73
2020-04-05,135.74,136.71,131.85,133.35,177.22792,133.35
2020-04-06,133.82,159.48,133.01,158.77,1407.06127,158.77
2020-04-07,158.89,163.0,150.02,150.85,1600.34748,150.85
2020-04-08,152.69,161.75,150.88,159.9,554.33994,159.9
2020-04-09,159.9,160.0,153.26,158.09,376.60781,158.09
2020-04-10,157.79,157.79,140.68,147.1,969.18436,147.1
2020-04-11,147.18,150.92,141.71,147.53,393.05887,147.53
2020-04-12,147.61,159.0,144.72,148.2,535.4196,148.2
2020-04-13,148.01,148.01,139.8,145.45,693.02242,145.45
2020-04-14,145.56,149.23,143.92,145.73,670.37682,145.73
2020-04-15,145.08,148.05,141.02,142.64,487.98329,142.64
2020-04-16,141.9,162.0,138.06,159.14,1414.57582,159.14
2020-04-17,160.11,161.0,155.4,157.99,516.65506,157.99
2020-04-18,158.62,175.69,158.62,173.97,1201.04627,173.97
2020-04-19,174.3,174.3,161.13,167.49,729.21872,167.49
2020-04-20,166.74,172.2,154.96,158.66,1442.62875,158.66
2020-04-21,158.08,162.49,156.71,158.98,531.35416,158.98
2020-04-22,159.05,171.0,158.54,170.06,890.73053,170.06
2020-04-23,169.94,179.8,166.0,171.53,1350.94124,171.53
2020-04-24,172.51,177.15,172.02,175.02,592.09203,175.02
2020-04-25,175.02,184.34,173.7,180.96,1191.03743,180.96
2020-04-26,181.27,186.36,179.63,183.95,678.98424,183.95
2020-04-27,184.16,185.46,176.54,183.2,862.83116,183.2
2020-04-28,182.34,183.99,179.3,183.31,374.9623,183.31
2020-04-29,183.5,204.5,183.5,199.82,1964.70961,199.82
2020-04-30,199.82,212.33,185.73,189.5,2163.62571,189.5
2020-05-01,189.51,199.82,189.51,193.93,1419.74085,193.93
2020-05-02,194.03,196.59,192.15,195.35,478.29185,195.35
2020-05-03,195.12,200.0,188.0,191.65,787.69906,191.65
2020-05-04,192.0,192.62,178.61,190.56,1146.01267,190.56
2020-05-05,190.59,194.38,186.0,190.07,548.21059,190.07
2020-05-06,190.25,195.39,185.01,185.22,622.82162,185.22
2020-05-07,185.22,199.0,183.6,195.64,1227.2774,195.64
2020-05-08,196.66,200.0,191.83,194.99,678.11477,194.99
2020-05-09,195.54,198.38,192.34,193.88,896.61134,193.88
2020-05-10,194.42,194.42,165.8,173.62,2198.07153,173.62
2020-05-11,173.68,179.77,160.88,173.62,858.22607,173.62
2020-05-12,173.98,179.61,173.7,175.99,450.36208,175.99
2020-05-13,176.24,188.24,175.62,186.6,532.23152,186.6
2020-05-14,186.83,191.9,182.62,188.8,901.29725,188.8
2020-05-15,188.95,188.95,177.91,180.62,570.47774,180.62
2020-05-16,180.28,188.73,179.77,186.6,263.2223,186.6
2020-05-17,186.05,194.84,185.76,191.59,350.50408,191.59
2020-05-18,192.15,201.0,191.98,198.59,792.94704,198.59
2020-05-19,198.59,199.55,194.0,197.2,487.92038,197.2
2020-05-20,197.2,198.0,189.13,194.14,912.87416,194.14
2020-05-21,194.31,194.7,177.09,184.16,1421.09566,184.16
2020-05-22,183.01,194.68,181.52,191.96,1674.45171,191.96
2020-05-23,192.26,195.69,190.5,192.26,436.74015,192.26
2020-05-24,191.66,194.99,186.74,187.1,432.62603,187.1
2020-05-25,186.24,191.97,185.0,190.23,1717.88961,190.23
2020-05-26,190.06,191.47,183.01,186.17,559.72653,186.17
2020-05-27,186.9,192.55,186.04,191.33,660.11213,191.33
2020-05-28,191.83,199.54,188.35,199.32,687.6908,199.32
2020-05-29,199.35,203.51,197.39,200.61,437.91387,200.61
2020-05-30,199.89,223.51,199.18,219.13,1452.39472,219.13
2020-05-31,219.1,221.12,208.44,209.3,641.02603,209.3
2020-06-01,208.56,225.0,208.56,219.14,627.84195,219.14
2020-06-02,219.92,226.0,203.73,214.25,1410.29747,214.25
2020-06-03,214.46,218.88,210.22,218.88,547.61399,218.88
2020-06-04,218.1,221.0,214.02,216.87,637.0051,216.87
2020-06-05,215.52,219.99,213.72,215.45,388.20538,215.45
2020-06-06,214.5,218.31,213.33,216.67,446.42235,216.67
2020-06-07,216.67,218.0,210.68,217.2,517.99139,217.2
2020-06-08,217.89,220.45,215.5,219.25,395.914,219.25
2020-06-09,219.7,221.94,213.72,216.5,517.60729,216.5
2020-06-10,216.19,220.97,215.26,217.8,833.24855,217.8
2020-06-11,219.36,220.91,201.69,205.98,1267.46546,205.98
2020-06-12,205.79,213.82,204.39,212.47,586.05638,212.47
2020-06-13,212.35,213.89,210.55,213.14,517.8907,213.14
2020-06-14,212.78,214.13,205.0,207.92,604.55083,207.92
2020-06-15,206.99,208.37,195.43,205.41,863.85466,205.41
2020-06-16,205.0,210.95,203.86,209.4,386.22013,209.4
2020-06-17,209.6,211.71,205.04,210.0,622.28727,210.0
2020-06-18,209.22,210.52,205.0,206.86,563.80806,206.86
2020-06-19,206.91,208.48,203.69,206.18,424.78166,206.18
2020-06-20,206.09,207.61,203.54,205.78,218.83508,205.78
2020-06-21,205.78,207.99,204.5,204.55,267.40395,204.55
2020-06-22,204.68,219.06,204.64,216.3,876.05484,216.3
2020-06-23,216.3,218.0,213.5,215.66,628.36058,215.66
2020-06-24,215.52,220.84,207.0,209.76,1854.77868,209.76
2020-06-25,209.61,211.7,205.0,208.38,493.36099,208.38
2020-06-26,207.53,208.96,204.59,206.79,1185.75097,206.79
2020-06-27,205.56,208.17,195.08,198.33,738.51447,198.33
2020-06-28,198.75,204.54,196.71,202.49,606.2986,202.49
2020-06-29,202.38,205.95,198.0,203.95,772.26351,203.95
2020-06-30,204.08,205.35,199.46,202.36,488.80668,202.36
2020-07-01,203.0,208.12,200.91,206.24,648.2452,206.24
2020-07-02,207.03,207.67,200.17,202.97,487.03122,202.97
2020-07-03,202.53,204.53,200.96,201.44,372.39972,201.44
2020-07-04,201.97,206.03,201.26,204.6,320.50534,204.6
2020-07-05,205.2,205.51,200.0,204.0,825.36547,204.0
2020-07-06,203.59,214.76,202.94,213.79,1197.44959,213.79
2020-07-07,214.79,215.46,208.65,212.76,1526.75644,212.76
2020-07-08,213.78,221.19,211.98,218.94,1850.66468,218.94
2020-07-09,218.54,220.0,211.89,215.32,838.75591,215.32
2020-07-10,215.33,215.67,210.51,214.66,595.16748,214.66
2020-07-11,214.73,214.97,211.71,213.35,465.6365,213.35
2020-07-12,213.35,217.0,210.45,216.0,581.74922,216.0
2020-07-13,216.03,217.5,210.69,212.39,2085.15836,212.39
2020-07-14,211.67,213.57,210.14,212.05,529.89605,212.05
2020-07-15,212.05,212.45,208.66,210.36,1801.19413,210.36
2020-07-16,210.0,210.84,202.82,206.05,1288.57757,206.05
2020-07-17,205.54,206.89,204.18,204.73,429.40444,204.73
2020-07-18,205.27,208.4,204.5,207.24,380.48305,207.24
2020-07-19,207.36,210.37,205.36,210.0,462.17018,210.0
2020-07-20,210.14,210.55,206.0,207.68,861.82693,207.68
2020-07-21,206.94,215.75,206.94,214.16,1930.20091,214.16
2020-07-22,214.08,234.0,211.0,229.02,1379.48568,229.02
2020-07-23,229.02,242.0,225.4,238.21,2404.67568,238.21
2020-07-24,237.4,247.99,232.48,241.0,2958.91218,241.0
2020-07-25,241.27,265.69,241.27,263.57,1969.03655,263.57
2020-07-26,262.0,272.12,256.5,267.35,5956.97188,267.35
2020-07-27,268.16,281.2,264.52,273.0,3846.44271,273.0
2020-07-28,274.0,277.17,261.5,272.28,2718.56857,272.28
2020-07-29,272.8,277.45,268.0,271.5,1693.34195,271.5
2020-07-30,270.94,290.39,268.69,283.79,2084.00754,283.79
2020-07-31,284.01,295.47,277.89,292.6,7438.45486,292.6
2020-08-01,293.05,332.93,290.61,328.92,6069.48144,328.92
2020-08-02,329.27,351.0,268.9,316.06,5358.43314,316.06
2020-08-03,316.88,340.26,312.05,330.08,3040.6337,330.08
2020-08-04,331.14,343.55,326.36,331.73,2649.58934,331.73
2020-08-05,331.62,343.99,327.8,337.79,2696.31875,337.79
2020-08-06,337.78,340.36,331.25,334.66,1832.16352,334.66
2020-08-07,334.4,338.09,309.31,323.42,2789.78287,323.42
2020-08-08,323.24,338.28,321.03,338.28,1649.77216,338.28
2020-08-09,338.28,340.74,327.36,333.06,1086.42946,333.06
2020-08-10,333.71,340.75,331.0,337.85,1282.68079,337.85
2020-08-11,338.96,340.43,313.88,324.55,2851.78999,324.55
2020-08-12,324.55,332.26,313.33,330.49,1797.39334,330.49
2020-08-13,330.04,365.01,319.91,358.34,3747.17544,358.34
2020-08-14,359.28,377.41,355.09,371.66,4396.67216,371.66
2020-08-15,371.72,375.43,362.38,366.64,1461.43101,366.64
2020-08-16,366.64,370.68,349.24,367.91,1667.23438,367.91
2020-08-17,367.94,377.53,356.62,364.57,2191.58147,364.57
2020-08-18,365.02,366.9,350.25,355.29,1964.92359,355.29
2020-08-19,355.34,358.8,334.0,345.57,3144.61389,345.57
2020-08-20,346.78,355.69,341.71,353.16,2089.60774,353.16
2020-08-21,352.63,354.69,328.0,329.67,3248.28941,329.67
2020-08-22,330.26,338.55,323.84,337.35,1437.29057,337.35
2020-08-23,337.35,338.43,326.31,333.02,952.82531,333.02
2020-08-24,333.28,349.62,330.42,348.02,1986.50098,348.02
2020-08-25,348.02,348.34,314.47,325.64,3321.37836,325.64
2020-08-26,325.65,334.42,321.26,328.18,1878.19734,328.18
2020-08-27,327.7,336.2,316.92,325.36,2150.5805,325.36
2020-08-28,326.21,336.39,323.6,333.89,1527.19552,333.89
2020-08-29,334.34,342.42,331.42,336.44,1168.55444,336.44
2020-08-30,336.99,362.27,336.98,362.0,1963.60844,362.0
2020-08-31,362.0,370.0,353.27,365.45,2500.67217,365.45
2020-09-01,365.94,412.06,361.92,400.31,3970.83994,400.31
2020-09-02,400.21,405.39,349.0,373.31,6380.20557,373.31
2020-09-03,373.49,383.13,316.5,325.92,6947.87933,325.92
2020-09-04,324.43,340.0,305.0,329.49,4226.86849,329.49
2020-09-05,328.0,335.36,262.16,284.23,8989.8441,284.23
2020-09-06,284.02,305.98,269.12,298.93,5133.06845,298.93
2020-09-07,299.28,304.4,275.0,300.23,3867.07466,300.23
2020-09-08,301.72,303.17,278.25,287.94,3670.28808,287.94
2020-09-09,287.96,306.26,282.87,299.01,2402.41479,299.01
2020-09-10,298.67,319.0,298.67,311.92,3058.86997,311.92
2020-09-11,313.5,318.37,302.44,317.44,2270.77189,317.44
2020-09-12,317.18,329.36,310.0,329.36,1277.17236,329.36
2020-09-13,329.4,330.94,300.0,311.0,3171.00786,311.0
2020-09-14,311.19,325.47,302.14,319.47,2116.79727,319.47
2020-09-15,319.79,323.12,307.07,309.55,2327.68397,309.55
2020-09-16,309.12,317.35,301.83,310.96,2107.32647,310.96
2020-09-17,310.38,334.42,309.44,330.84,3842.52409,330.84
2020-09-18,330.55,332.74,318.31,325.94,1766.12128,325.94
2020-09-19,325.94,329.32,320.53,326.41,1145.39012,326.41
2020-09-20,326.23,326.23,310.0,314.28,1762.53723,314.28
2020-09-21,314.28,319.12,283.6,290.22,4930.60063,290.22
2020-09-22,290.83,297.53,287.76,294.68,1881.05767,294.68
2020-09-23,294.8,295.86,270.62,276.31,2065.07566,276.31
2020-09-24,275.48,302.93,273.14,299.46,2713.49891,299.46
2020-09-25,300.34,309.47,290.2,304.08,2127.84472,304.08
2020-09-26,304.5,307.18,299.0,306.38,987.91111,306.38
2020-09-27,306.43,312.12,300.15,308.18,1380.5293,308.18
2020-09-28,308.44,316.92,303.39,305.12,1778.63605,305.12
2020-09-29,304.01,308.2,301.47,307.36,1327.12006,307.36
2020-09-30,307.36,309.2,302.0,307.64,1119.82182,307.64
2020-10-01,308.39,316.0,295.93,302.16,2403.20213,302.16
2020-10-02,301.13,303.55,286.95,296.26,3113.28169,296.26
2020-10-03,296.26,301.0,294.91,296.93,867.43961,296.93
2020-10-04,296.17,303.55,295.11,301.21,833.47749,301.21
2020-10-05,302.17,304.13,298.14,301.74,1301.09425,301.74
2020-10-06,301.84,301.84,288.03,291.65,1660.76981,291.65
2020-10-07,290.62,292.59,285.39,291.35,1256.8285,291.35
2020-10-08,291.75,300.99,284.59,299.1,1750.391,299.1
2020-10-09,299.03,312.36,296.2,309.49,1573.0829,309.49
2020-10-10,310.0,319.49,309.96,312.96,1581.68042,312.96
2020-10-11,313.88,319.27,312.24,317.21,1141.73044,317.21
2020-10-12,316.74,335.0,311.38,326.65,2703.79168,326.65
2020-10-13,326.36,329.68,319.9,325.57,1938.85796,325.57
2020-10-14,326.15,330.57,318.86,323.36,2103.04035,323.36
2020-10-15,322.81,325.25,317.37,323.17,1661.12612,323.17
2020-10-16,323.84,324.96,310.0,313.33,2063.86919,313.33
2020-10-17,312.79,317.5,311.41,315.34,752.43682,315.34
2020-10-18,315.39,324.06,314.6,323.11,902.70138,323.11
2020-10-19,324.18,326.24,319.24,323.57,1611.46212,323.57
2020-10-20,322.87,324.61,311.0,312.96,2684.95786,312.96
2020-10-21,312.62,339.25,312.2,330.63,6237.10624,330.63
2020-10-22,330.13,357.0,330.13,351.26,7035.49834,351.26
2020-10-23,350.92,355.22,340.32,346.23,4018.78836,346.23
2020-10-24,346.39,352.0,344.56,348.4,1623.51716,348.4
2020-10-25,348.12,351.99,340.9,343.8,1902.20837,343.8
2020-10-26,343.79,348.48,324.95,333.81,4747.70058,333.81
2020-10-27,334.05,348.22,331.53,343.68,4193.96924,343.68
2020-10-28,343.39,348.0,325.25,331.87,5879.01366,331.87
2020-10-29,331.86,338.59,326.48,332.19,4308.59951,332.19
2020-10-30,332.61,336.36,321.28,328.9,4440.72371,328.9
2020-10-31,329.06,338.48,327.3,332.61,3169.35378,332.61
2020-11-01,332.53,341.91,331.42,341.43,2857.60614,341.43
2020-11-02,341.68,347.69,325.5,330.1,6423.36451,330.1
2020-11-03,330.0,333.56,318.62,330.0,6758.17885,330.0
2020-11-04,330.47,348.84,322.83,343.75,11026.97435,343.75
2020-11-05,344.01,355.28,338.15,352.01,12265.39266,352.01
2020-11-06,352.19,386.17,349.58,383.51,14755.11637,383.51
